Specification Number,Title,Responsible Group
25.866,1.28 Mcps TDD Home Node B (HNB) study item technical report,R4
25.867,Feasibility study for wideband distribution systems in 3rd generation networks,R4
25.868,"Node B synchronization for 1,28 Mcps TDD",RP
25.869,Transmitter diversity solutions for multiple antennas,R1
25.870,Enhancement on the DSCH Hard Split mode,RP
25.871,Uplink Multiple Input Multiple Output (MIMO) for High Speed Packet Access (HSPA),RP
25.872,High Speed Packet Access (HSDPA) multipoint transmission,RP
25.873,UE Demodulation Performance Requirements Under Multiple-cell Scenario for 1.28Mcps TDD,R4
25.874,High Speed Packet Access (HSPA) feedback and signalling efficiency enhancements for Low Chip Rate (LCR) Time Division Duplex (TDD),RP
25.875,NAS node selector function,R3
25.876,Multiple Input Multiple Output (MIMO) antennae in UTRA,RP
25.877,High Speed Downlink Packet Access (HSDPA) - Iub/Iur Protocol Aspects,R3
25.878,RL timing adjustment,R3
25.879,Separation of resource reservation and radio link activation,R3
25.880,Re-arrangement of Iub transport bearers,R3
25.881,Improvement of Radio Resource Management (RRM) across RNS and RNS/BSS,R3
25.882,"1,28 Mcps TDD option base station classification",R4
25.883,Direct Transport Bearers Between SRNC and Node-B,R3
25.884,Iur Neighbouring cell reporting efficiency optimisation,R3
25.885,UMTS 1800 / 1900 MHz work items report,R4
25.886,Small technical enhancements and improvements work item,R4
25.887,Beamforming enhancements,RP
25.888,"Improvement of inter frequency and inter system measurement for 1,28 Mcps TDD",RP
25.889,Feasibility study considering the viable deployment of UTRA in additional and diverse spectrum arrangements,R4
25.890,High Speed Downlink Packet Access (HSDPA); User Equipment (UE) radio transmission and reception (FDD),R4
25.891,Improvement of Radio Resource Management (RRM) across RNS and RNS/BSS post-Rel-5,R3
25.892,Feasibility study for Orthogonal Frequency Division Multiplexing (OFDM) for UTRAN enhancement,RP
25.893,Radio access bearer scenarios,R2
25.894,Enhanced UE positioning using software blanking,R2
25.895,Analysis of higher chip rates for UTRA TDD evolution,RP
25.896,Feasibility study for enhanced uplink for UTRA FDD,RP
25.897,Feasibility study on the evolution of UTRAN architecture,R3
25.898,Power control enhancements for UTRA,R1
25.899,High Speed Downlink Packet Access (HSDPA) enhancements,RP
25.901,Network Assisted Cell Change (NACC) from UTRAN to GERAN; Network side aspects,R3
25.902,Iub/Iur congestion control,R3
25.903,Continuous connectivity for packet data users,RP
25.904,Improved support of gaming over HSDPA/EDCH,R2
25.905,Feasibility study on improvement of the Multimedia Broadcast/Multicast Service (MBMS) in UTRAN,RP
25.906,Dynamically reconfiguring a Frequency Division Duplex (FDD) User Equipment (UE) receiver to reduce power consumption when desired Quality of Service (QoS) is met,R4
25.907,Evaluation of path-loss technologies for Location Services (LCS),R4
25.909,Enhanced uplink UTRA FDD; UTRAN Iub/Iur protocol aspects,R3
25.912,Feasibility study for evolved Universal Terrestrial Radio Access (UTRA) and Universal Terrestrial Radio Access Network (UTRAN),RP
25.913,Requirements for Evolved UTRA (E-UTRA) and Evolved UTRAN (E-UTRAN),RP
25.914,Measurements of radio performances for UMTS terminals in speech mode,R4
25.921,Guidelines and principles for protocol description and error handling,RP
25.922,Radio resource management strategies,RP
25.924,Opportunity Driven Multiple Access (ODMA),R2
25.925,Radio Interface for Broadcast/Multicast Services,RP
25.926,UE Radio Access capabilities definition,R2
25.927,Solutions for energy saving within UTRA Node B,RP
25.928,"1,28 Mcps functionality for UTRA TDD physical layer",RP
25.929,Continuous connectivity for packet data users; 1.28 Mcps TDD,RP
25.931,"UTRAN functions, examples on signalling procedures",R3
25.932,Delay budget within the access stratum,R3
25.933,IP transport in UTRAN,R3
25.934,AAL2 QoS optimization,R3
25.935,RRM optimisation,R3
25.936,Handover for realtime services from PS-domain,R3
25.937,UTRAN TDD low chiprate,R3
25.938,Terminal power saving features,R3
25.941,Document structure,R4
25.942,Radio Frequency (RF) system scenarios,R4
25.943,Deployment aspects,R4
25.944,Channel coding and multiplexing examples,RP
25.945,RF requirements for low chip rate TDD option,R4
25.946,RAB Quality of Service (QoS) Negotiation over Iu,R3
25.950,UTRA High Speed Downlink Packet Access (HSDPA),RP
25.951,FDD Base Station (BS) classification,R4
25.952,TDD Base Station (BS) classification,R4
25.953,TrFO/TFO,R3
25.954,Migration to modification procedure,R3
25.956,Universal Terrestrial Radio Access (UTRA) repeater planning guidelines and system analysis,R4
25.963,Feasibility study on interference cancellation for UTRA FDD User Equipment (UE),R4
25.967,Home Node B (HNB) Radio Frequency (RF) requirements (FDD),R4
25.968,1.28 Mcps TDD Home NodeB Radio Frequency (RF),R4
25.990,Vocabulary for UTRAN,R4
25.991,Feasibility study on the mitigation of the effect of common pilot channel (CPICH) interference at the user equipment,R4
25.992,Multimedia Broadcast/Multicast Service (MBMS); UTRAN/GERAN requirements,RP
25.993,Typical examples of Radio Access Bearers (RABs) and Radio Bearers (RBs) supported by Universal Terrestrial Radio Access (UTRA),RP
25.994,Measures employed by the UMTS Radio Access Network (UTRAN) to overcome early User Equipment (UE) implementation faults,RP
25.995,Measures employed by the UMTS Radio Access Network (RAN) to cater for legacy User Equipment (UE) which conforms to superseded versions of the RAN interface specification,RP
25.996,Spatial channel model for Multiple Input Multiple Output (MIMO) simulations,RP
25.997,"(provisionally reserved for: Remote control of electrical tilting antennas) - TP-20: number not used, bacame 25.802.",R3
25.998,UTRAN recommendation and UE allowance for non-essential corrections of a feature made only in a later release,R2
25.999,High Speed Packet Access (HSPA) evolution; Frequency Division Duplex (FDD),RP
26.071,Mandatory speech CODEC speech processing functions; AMR speech Codec; General description,S4
26.073,ANSI-C code for the Adaptive Multi Rate (AMR) speech codec,S4
26.074,Mandatory speech codec speech processing functions; Adaptive Multi-Rate (AMR) speech codec test sequences,S4
26.077,Minimum performance requirements for Noise Suppresser; Application to the Adaptive Multi-Rate (AMR) speech encoder,S4
26.078,Results of the AMR noise suppression selection phase,S4
26.090,Mandatory Speech Codec speech processing functions; Adaptive Multi-Rate (AMR) speech codec; Transcoding functions,S4
26.091,Mandatory Speech Codec speech processing functions; Adaptive Multi-Rate (AMR) speech codec; Error concealment of lost frames,S4
26.092,Mandatory speech codec speech processing functions; Adaptive Multi-Rate (AMR) speech codec; Comfort noise aspects,S4
26.093,Mandatory speech codec speech processing functions Adaptive Multi-Rate (AMR) speech codec; Source controlled rate operation,S4
26.094,Mandatory speech codec speech processing functions; Adaptive Multi-Rate (AMR) speech codec; Voice Activity Detector (VAD),S4
26.101,Mandatory speech codec speech processing functions; Adaptive Multi-Rate (AMR) speech codec frame structure,S4
26.102,"Mandatory speech codec; Adaptive Multi-Rate (AMR) speech codec; Interface to Iu, Uu and Nb",S4
26.103,Speech codec list for GSM and UMTS,S4
26.104,ANSI-C code for the floating-point Adaptive Multi-Rate (AMR) speech codec,S4
26.110,Codec for circuit switched multimedia telephony service; General description,S4
26.111,Codec for circuit switched multimedia telephony service; Modifications to H.324,S4
26.112,Codec(s) for Circuit Switched Multimedia Telephony Service; Call Set-up Requirements,S4
26.113,Real-Time Media Communication; Protocols and APIs,S4
26.114,IP Multimedia Subsystem (IMS); Multimedia Telephony; Media handling and interaction,S4
26.115,Echo control for speech and multimedia services,S4
26.116,Television (TV) over 3GPP services; Video profiles,S4
26.117,5G Media Streaming (5GMS); Speech and audio profiles,S4
26.118,Virtual Reality (VR) profiles for streaming applications,S4
26.119,Media Capabilities for Augmented Reality,S4
26.130,Speech/Audio Codec RTP Payload Format Conformance for UE Testing,S4
26.131,Terminal acoustic characteristics for telephony; Requirements,S4
26.132,Speech and video telephony terminal acoustic test specification,S4
26.133,Wide band speech telephony terminal acoustic characteristics,S4
26.134,Wide band speech telephony terminal acoustic test specification,S4
26.135,Terminal Display and Camera Characteristics for H.324 Narrow-band Video Telephony,S4
26.136,Terminal Display and Camera Test Specifications for H.324 Narrow-band Video Telephony,S4
26.137,Terminal Display and Camera Characteristics for H.323 Narrow-band Video Telephony,S4
26.138,Terminal Display and Camera Test Specifications for H.323 Narrow-band Video Telephony,S4
26.139,Real-time Transport Protocol (RTP) / RTP Control Protocol (RTCP) verification procedures,S4
26.140,Multimedia Messaging Service (MMS); Media formats and codecs,S4
26.141,IP Multimedia System (IMS) Messaging and Presence; Media formats and codecs,S4
26.142,Dynamic and Interactive Multimedia Scenes (DIMS),S4
26.143,Messaging Media profiles,S4
26.150,Syndicated Feed Reception (SFR) within 3GPP environments; Protocols and codecs,S4
26.171,Speech codec speech processing functions; Adaptive Multi-Rate - Wideband (AMR-WB) speech codec; General description,S4
26.173,ANSI-C code for the Adaptive Multi-Rate - Wideband (AMR-WB) speech codec,S4
26.174,Speech codec speech processing functions; Adaptive Multi-Rate - Wideband (AMR-WB) speech codec test sequences,S4
26.177,Speech Enabled Services (SES); Distributed Speech Recognition (DSR) extended advanced front-end test sequences,S4
26.179,Mission Critical Push To Talk (MCPTT); Codecs and media handling,S4
26.190,Speech codec speech processing functions; Adaptive Multi-Rate - Wideband (AMR-WB) speech codec; Transcoding functions,S4
26.191,Speech codec speech processing functions; Adaptive Multi-Rate - Wideband (AMR-WB) speech codec; Error concealment of erroneous or lost frames,S4
26.192,Speech codec speech processing functions; Adaptive Multi-Rate - Wideband (AMR-WB) speech codec; Comfort noise aspects,S4
26.193,Speech codec speech processing functions; Adaptive Multi-Rate - Wideband (AMR-WB) speech codec; Source controlled rate operation,S4
26.194,Speech codec speech processing functions; Adaptive Multi-Rate - Wideband (AMR-WB) speech codec; Voice Activity Detector (VAD),S4
26.201,Speech codec speech processing functions; Adaptive Multi-Rate - Wideband (AMR-WB) speech codec; Frame structure,S4
26.202,"Speech codec speech processing functions; Adaptive Multi-Rate - Wideband (AMR-WB) speech codec; Interface to Iu, Uu and Nb",S4
26.204,Speech codec speech processing functions; Adaptive Multi-Rate - Wideband (AMR-WB) speech codec; ANSI-C code,S4
26.223,Telepresence using the IP Multimedia Subsystem (IMS); Media handling and interaction,S4
26.226,Cellular text telephone modem; General description,S4
26.230,Cellular text telephone modem; Transmitter bit exact C-code,S4
26.231,Cellular text telephone modem; Minimum performance requirements,S4
26.233,Transparent end-to-end Packet-switched Streaming service (PSS); General description,S4
26.234,Transparent end-to-end Packet-switched Streaming Service (PSS); Protocols and codecs,S4
26.235,Packet switched conversational multimedia applications; Default codecs,S4
26.236,Packet switched conversational multimedia applications; Transport protocols,S4
26.237,IP Multimedia Subsystem (IMS) based Packet Switch Streaming (PSS) and Multimedia Broadcast/Multicast Service (MBMS) User Service; Protocols,S4
26.238,Uplink streaming,S4
26.243,ANSI-C code for the fixed-point distributed speech recognition extended advanced front-end,S4
26.244,Transparent end-to-end packet switched streaming service (PSS); 3GPP file format (3GP),S4
26.245,Transparent end-to-end Packet switched Streaming Service (PSS); Timed text format,S4
26.246,Transparent end-to-end Packet-switched Streaming Service (PSS); 3GPP SMIL language profile,S4
26.247,Transparent end-to-end Packet-switched Streaming Service (PSS); Progressive Download and Dynamic Adaptive Streaming over HTTP (3GP-DASH),S4
26.249,Immersive Audio for Split Rendering Scenarios; Detailed Algorithmic Description of Split Rendering Functions,S4
26.250,Codec for Immersive Voice and Audio Services (IVAS); General overview,S4
26.251,Codec for Immersive Voice and Audio Services (IVAS); C code (fixed-point),S4
26.252,Codec for Immersive Voice and Audio Services (IVAS); Test sequences,S4
26.253,Codec for Immersive Voice and Audio Services (IVAS); Detailed Algorithmic Description including RTP payload format and SDP parameter definitions,S4
26.254,Codec for Immersive Voice and Audio Services (IVAS); Rendering,S4
26.255,Codec for Immersive Voice and Audio Services (IVAS); Error concealment of lost packets,S4
26.256,Codec for Immersive Voice and Audio Services (IVAS); Jitter Buffer Management,S4
26.258,Codec for Immersive Voice and Audio Services (IVAS); C code (floating-point),S4
